,x_in,y_in,change,x_fin
1,-240,100,1,-60
5,-240,80,1,-40
9,-240,80,1,-40
13,-240,40,1,0
17,-240,40,1,0
21,-240,200,1,-160
25,240,-180,2,-220
29,240,0,2,-40
33,240,-100,2,-140
37,240,220,2,180
41,240,-40,2,-80
45,240,140,2,100
49,240,-140,2,-180
53,240,-140,2,-180
57,240,180,2,140
61,240,80,2,40
65,240,-100,2,-140
69,240,-160,2,-200
73,240,-100,2,-140
77,240,280,2,240
81,240,60,2,20
85,240,-140,2,-180
89,240,240,2,200
93,240,180,2,140
97,240,180,2,140
101,240,-100,2,-140
105,240,0,2,-40
109,240,-80,2,-120
113,240,180,2,140
117,240,20,2,-20
121,240,-20,2,-60
125,-240,-180,1,220
129,-240,140,1,-100
133,240,-180,2,-220
137,240,60,2,20
141,240,200,2,160
145,240,-20,2,-60
149,240,280,2,240
153,240,200,2,160
157,240,-80,2,-120
161,240,80,2,40
165,240,-140,2,-180
169,240,-80,2,-120
173,240,60,2,20
177,240,240,2,200
181,240,-120,2,-160
185,240,200,2,160
189,240,140,2,100
193,240,140,2,100
197,240,-60,2,-100
201,240,-20,2,-60
205,240,-100,2,-140
209,240,-120,2,-160
213,240,-120,2,-160
217,240,140,2,100
221,240,120,2,80
225,240,140,2,100
229,240,-40,2,-80
233,240,260,2,220
237,240,220,2,180
241,240,-140,2,-180
245,240,80,2,40
249,240,0,2,-40
253,240,40,2,0
257,240,-140,2,-180
261,240,-160,2,-200
265,240,-60,2,-100
269,240,-20,2,-60
273,240,-140,2,-180
277,240,40,2,0
281,240,180,2,140
285,240,140,2,100
289,240,-120,2,-160
293,240,100,2,60
297,240,120,2,80
301,240,-100,2,-140
305,240,20,2,-20
309,240,0,2,-40
313,240,180,2,140
317,240,-100,2,-140
321,-240,-180,1,220
325,-240,-160,1,200
329,-240,140,1,-100
333,-240,200,1,-160
337,-240,40,1,0
341,-240,180,1,-140
345,-240,140,1,-100
349,-240,280,1,-240
353,-240,40,1,0
357,-240,-140,1,180
361,-240,-60,1,100
365,-240,-140,1,180
369,-240,80,1,-40
373,-240,260,1,-220
377,-240,60,1,-20
381,-240,160,1,-120
385,-240,0,1,40
389,-240,220,1,-180
393,-240,200,1,-160
397,-240,220,1,-180
401,-240,240,1,-200
405,-240,-60,1,100
409,-240,260,1,-220
413,-240,120,1,-80
417,-240,240,1,-200
421,-240,-140,1,180
425,-240,0,1,40
429,-240,-60,1,100
433,-240,140,1,-100
437,-240,-40,1,80
441,-240,60,1,-20
445,-240,40,1,0
449,-240,240,1,-200
453,-240,-60,1,100
457,240,-180,2,-220
461,240,-100,2,-140
465,240,220,2,180
469,240,60,2,20
473,240,220,2,180
477,240,200,2,160
481,240,0,2,-40
485,240,-60,2,-100
489,240,-120,2,-160
493,240,40,2,0
497,240,220,2,180
501,240,-140,2,-180
505,240,-100,2,-140
509,240,180,2,140
513,240,-100,2,-140
517,240,100,2,60
521,240,40,2,0
525,240,-40,2,-80
529,240,140,2,100
533,240,80,2,40
537,240,260,2,220
541,240,140,2,100
545,240,140,2,100
549,240,260,2,220
553,240,20,2,-20
557,240,-40,2,-80
561,240,160,2,120
565,240,180,2,140
569,240,20,2,-20
573,240,-160,2,-200
577,240,180,2,140
581,240,20,2,-20
585,240,20,2,-20
589,240,-120,2,-160
593,240,-140,2,-180
597,240,-60,2,-100
601,-240,-180,1,220
605,-240,-120,1,160
609,-240,220,1,-180
613,-240,60,1,-20
